Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53490148,The Ickabog,J.K. Rowling,"Rowling, J.K.",,"=""1510202250""","=""9781510202252""",5,3.94,"Little, Brown Books for Young Readers",Hardcover,290,2020,2020,2020/11/20,2020/12/02,"english-language-learning-track, young-adult","english-language-learning-track (#3), young-adult (#7)",read,collection links on tweets with artworks<br/>https://www.facebook.com/ekashirinr/posts/3118785738242229<br/>(https://vk.com/wall-190294791_2199 same thing. collection links on copies arts),,,2,0
28110852,The Girl Who Drank the Moon,Kelly Barnhill,"Barnhill, Kelly",,"=""1616205679""","=""9781616205676""",0,4.12,Algonquin Young Readers,Hardcover,388,2016,2016,2020/11/21,2020/12/02,young-adult,young-adult (#6),read,,,,1,0
37534907,The City in the Middle of the Night,Charlie Jane Anders,"Anders, Charlie Jane",,"=""0765379961""","=""9780765379962""",0,3.50,Tor Books,Hardcover,366,2019,2019,,2020/12/31,"to-read, 2021","to-read (#10), 2021 (#11)",to-read,,,,0,0
41824495,"Fall; or, Dodge in Hell (Crypto, #3)",Neal Stephenson,"Stephenson, Neal",,"=""006245871X""","=""9780062458711""",0,3.57,William Morrow,Hardcover,883,2019,2019,,2020/12/31,"2021, to-read","2021 (#8), to-read (#9)",to-read,,,,0,0
39395857,The Raven Tower,Ann Leckie,"Leckie, Ann",,"=""0356506991""","=""9780356506999""",0,3.92,Orbit,Hardcover,416,2019,2019,,2020/12/31,"to-read, 2021","to-read (#8), 2021 (#6)",to-read,,,,0,0
33080122,"The Calculating Stars (Lady Astronaut Universe, #1)",Mary Robinette Kowal,"Kowal, Mary Robinette",,"=""""","=""""",0,3.97,Tor Books,Paperback,431,2018,2018,,2020/12/31,"to-read, 2021","to-read (#7), 2021 (#5)",to-read,,,,0,0
14201,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",0,3.85,Tor Books,Paperback,1006,2006,2004,,2020/12/31,to-read,to-read (#6),to-read,,,,0,0
49504061,The Once and Future Witches,Alix E. Harrow,"Harrow, Alix E.",,"=""0316422045""","=""9780316422048""",0,4.06,Redhook,Hardcover,517,2020,2020,2020/12/15,2020/12/02,,,read,,,,2,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",4,4.41,Crown,Hardcover,384,2014,2011,,2019/11/21,"to-read, in-far-long-future","to-read (#5), in-far-long-future (#2)",to-read,,,,1,0
7923006,"The Kingdom of Gods (Inheritance, #3)",N.K. Jemisin,"Jemisin, N.K.",,"=""184149819X""","=""9781841498195""",0,3.99,Orbit,Paperback,613,2011,2011,,2020/12/02,to-read,to-read (#4),to-read,,,,0,0
7904453,"The Broken Kingdoms (Inheritance, #2)",N.K. Jemisin,"Jemisin, N.K.",,"=""0316043966""","=""9780316043960""",0,4.13,Orbit,Paperback,384,2010,2010,2020/10/31,2020/12/02,,,read,,,,1,0
6437061,"The Hundred Thousand Kingdoms (Inheritance, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""0316043915""","=""9780316043915""",0,3.89,Hachette Book Group Orbit,Paperback,427,2010,2010,2020/08/31,2020/12/02,,,read,,,,1,0
25993248,The Jewish Dog,Asher Kravitz,"Kravitz, Asher",Michal Kessler,"=""""","=""""",0,4.15,Penlight Publications,Kindle Edition,239,2015,2007,2019/09/30,2020/12/02,,,read,,,,1,0
11774272,"The Killing Moon (Dreamblood, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""0356500764""","=""9780356500768""",0,3.95,Hachette Book Group,Paperback,428,2012,2012,,2020/12/02,to-read,to-read (#3),to-read,,,,0,0
23533039,"Ancillary Mercy (Imperial Radch, #3)",Ann Leckie,"Leckie, Ann",,"=""0356502422""","=""9780356502427""",0,4.21,Orbit,Paperback,330,2015,2015,2020/03/31,2020/12/02,,,read,,,,1,0
